Frequency (Hz),Power,Log Power
0.0,0.0004942958285400478,0.00021461691300901585
0.1,0.0004942970749530803,0.0002146174540518566
0.2,0.0004943029890930371,0.00021462002126128099
0.30000000000000004,0.0004943143493581362,0.0002146249525240962
0.4,0.0004943278704934227,0.0002146308217772601
0.5,0.0004943442681324506,0.00021463793966277706
0.6000000000000001,0.0004943674252824663,0.00021464799171593671
0.7000000000000001,0.000494395506722572,0.00021466018130409317
0.8,0.0004944241209492153,0.0002146726021638865
0.9,0.0004944563185464176,0.00021468657849224603
1.0,0.0004944964018074855,0.0002147039778277257
1.1,0.0004945405365783921,0.0002147231358412174
1.2000000000000002,0.000494584919513265,0.00021474240157681293
1.3,0.0004946339067112037,0.00021476366592897597
1.4000000000000001,0.0004946902464486938,0.00021478812186867638
1.5,0.0004947498238648058,0.00021481398321761229
1.6,0.0004948109522786488,0.0002148405178216489
1.7000000000000002,0.0004948773866062764,0.00021486935561331917
1.8,0.0004949494959219922,0.00021490065679981304
1.9000000000000001,0.0004950242853092938,0.00021493312134851798
2.0,0.0004951029985239699,0.00021496728914813837
2.1,0.0004951872791998109,0.00021500387366591095
2.2,0.0004952747969325127,0.00021504186332059886
2.3000000000000003,0.0004953652130906213,0.00021508111111892393
2.4000000000000004,0.0004954619188514008,0.00021512308910071672
2.5,0.0004955639494994826,0.00021516737850222305
2.6,0.000495667278979395,0.000215212231695202
2.7,0.0004957741114601006,0.00021525860546369152
2.8000000000000003,0.0004958888228396183,0.00021530839929347499
2.9000000000000004,0.0004960081834257821,0.000215360211241309
3.0,0.0004961281505906285,0.00021541228648614986
3.1,0.0004962525856139054,0.00021546630112852472
3.2,0.0004963849477536498,0.00021552375675919504
3.3000000000000003,0.0004965213131563473,0.00021558295011430792
3.4000000000000004,0.0004966590134140278,0.00021564272289388003
3.5,0.0004968019038752937,0.00021570474862264493
3.6,0.0004969519409022657,0.00021576987651491982
3.7,0.0004971047927891968,0.00021583622626834684
3.8000000000000003,0.0004972611433238153,0.00021590409469970305
3.9000000000000004,0.0004974236793448916,0.00021597464810756947
4.0,0.0004975907988739035,0.00021604719110611433
4.1000000000000005,0.0004977607153632831,0.00021612094819279426
4.2,0.0004979371988077496,0.00021619755583976517
4.3,0.0004981194311869093,0.00021627665896087594
4.4,0.0004983038061606509,0.00021635669212111887
4.5,0.0004984917978529339,0.0002164382952049895
